age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
36,58,12,12,42,39,30,77,40,2829,0,40,74
47,18,15,13,42,59,30,77,40,0,0,40,74
37,58,15,13,42,62,30,77,40,0,0,55,74
36,58,14,10,66,9,47,77,40,0,0,40,74
39,58,10,9,42,9,30,77,40,0,0,40,74
67,65,2,2,78,50,47,4,19,0,0,20,74
41,38,14,10,42,50,30,77,40,0,1485,40,74
52,58,10,9,11,0,47,77,19,0,0,40,74
45,58,10,9,42,16,30,77,40,0,0,60,74
31,58,12,12,45,70,52,77,19,0,0,40,74
50,38,11,15,42,59,30,77,40,0,0,40,74
62,58,9,8,42,17,30,77,40,0,0,48,21
23,58,14,10,45,50,75,77,19,0,0,20,74
52,58,15,13,78,50,47,77,19,0,2824,20,74
51,58,14,10,42,16,79,77,19,0,0,20,74
58,65,15,13,42,17,30,77,40,0,0,35,74
29,58,15,13,42,72,30,77,40,0,0,20,74
44,58,14,10,43,9,75,77,19,1506,0,45,74
54,38,10,9,78,50,75,4,19,0,0,40,74
56,58,14,10,42,9,30,77,40,0,1902,60,74
69,58,15,13,78,59,47,77,40,0,2282,40,74
30,58,12,12,45,39,47,77,40,0,0,48,74
47,68,15,13,42,59,30,77,40,0,0,60,74
55,58,16,14,42,16,30,77,40,0,1977,50,74
36,64,12,12,42,16,30,77,40,0,0,40,74
48,58,10,9,78,0,75,77,19,0,0,40,74
45,58,10,9,42,9,30,77,40,0,0,40,74
65,64,15,13,42,16,30,77,40,0,0,44,44
43,58,14,10,11,70,75,77,19,0,0,30,74
41,64,11,15,42,16,79,77,19,0,2415,55,74
59,38,15,13,45,0,47,77,40,0,0,38,74
48,58,10,9,45,50,75,4,19,0,0,32,24
53,58,10,9,66,72,75,77,40,0,0,45,74
25,58,14,10,45,72,47,77,40,10520,0,50,74
31,58,14,10,45,9,75,77,40,0,0,42,44
37,58,14,10,42,9,30,77,40,5178,0,75,74
40,58,14,10,42,70,30,77,40,0,0,55,74
54,58,7,6,42,39,30,77,40,0,0,40,74
31,58,14,10,42,62,79,4,19,0,0,40,74
25,58,14,10,45,59,52,77,40,0,0,40,74
27,58,14,10,45,50,47,77,19,0,0,25,74
23,58,14,10,45,16,47,77,19,0,0,35,74
52,18,9,8,45,50,75,4,19,0,0,40,74
41,38,16,14,45,59,47,4,19,0,0,40,74
39,68,10,9,11,59,47,77,40,0,0,40,74
33,68,16,14,45,59,47,77,40,0,0,60,74
33,58,10,9,11,9,75,77,40,0,0,40,74
53,58,8,7,42,9,30,77,40,0,0,40,74
29,58,15,13,42,62,30,77,40,3103,0,45,74
25,58,13,11,45,59,47,77,19,0,0,36,6
29,58,15,13,45,25,47,77,40,0,0,40,74
38,58,11,15,42,62,79,77,19,0,0,40,74
19,58,10,9,45,50,52,77,19,0,0,20,74
37,58,10,9,66,59,75,1,19,0,0,40,74
35,58,7,6,11,9,47,77,40,0,0,60,74
46,58,16,14,42,16,30,77,40,0,0,45,74
18,58,7,6,45,50,52,77,40,0,0,6,74
58,64,10,9,42,62,79,77,19,15024,0,35,74
33,58,10,9,42,16,30,4,40,0,0,50,74
36,58,2,2,42,25,30,77,40,0,0,40,34
40,58,16,14,42,16,30,77,40,0,0,40,74
20,58,8,7,42,25,49,77,40,2961,0,35,74
46,38,17,16,42,59,79,77,19,0,1902,52,74
31,38,11,15,42,59,30,77,40,0,0,40,74
40,68,16,14,11,59,75,77,19,0,0,20,74
28,58,8,7,45,72,52,77,40,0,0,50,74
45,58,6,5,42,0,30,4,40,5178,0,40,74
35,58,10,9,66,59,49,4,19,0,0,40,74
24,58,10,9,45,0,49,77,40,0,0,40,74
29,58,15,13,45,62,47,77,19,3325,0,45,74
51,58,17,16,45,59,47,77,40,0,0,40,74
36,58,15,13,42,62,30,77,40,0,0,40,74
28,58,15,13,45,0,47,77,40,0,1408,40,74
47,58,16,14,42,59,30,3,40,0,0,45,31
23,58,12,12,45,62,52,77,40,0,0,30,74
39,58,14,10,42,9,52,3,40,0,0,40,74
30,58,15,13,45,62,47,77,19,0,0,30,74
25,58,15,13,45,0,47,77,40,0,0,40,74
36,58,13,11,11,70,75,77,19,0,0,40,74
50,58,14,10,42,62,30,77,40,0,0,40,74
48,58,15,13,43,59,47,77,40,0,0,37,74
29,58,10,9,42,9,30,1,40,0,0,40,74
61,58,11,15,42,16,30,77,40,0,0,20,74
24,58,10,9,45,62,52,77,19,0,1762,32,74
24,58,15,13,45,62,47,77,40,0,0,47,74
18,58,8,7,45,25,52,77,40,0,0,12,74
22,58,14,10,45,60,47,77,40,0,0,20,74
53,58,17,16,11,59,47,77,40,0,0,50,74
28,58,10,9,45,50,75,4,19,0,0,52,74
37,58,15,13,42,16,79,77,19,0,0,37,74
18,58,10,9,45,50,47,77,40,0,0,25,74
56,65,14,10,42,9,30,77,40,0,0,50,74
21,58,13,11,45,9,75,77,40,0,0,40,74
35,65,6,5,42,9,30,77,40,0,0,50,74
42,65,14,10,45,16,47,77,40,0,0,40,74
63,18,14,10,11,16,75,77,19,0,0,40,74
20,58,14,10,45,0,52,77,40,0,0,9,15
41,68,10,9,42,72,30,4,40,0,0,40,74
57,58,2,2,11,9,75,77,40,0,0,40,56
50,64,14,10,66,16,75,77,19,0,0,75,74
65,58,15,13,42,0,30,77,40,0,0,34,74
36,58,15,13,42,59,30,77,40,0,0,40,74
36,65,14,10,42,62,30,77,40,99999,0,20,74
35,58,10,9,11,72,47,77,40,0,0,60,74
31,58,14,10,45,50,52,77,40,0,1721,16,74
23,58,8,7,45,9,75,77,40,0,0,35,74
29,58,10,9,45,50,49,77,19,0,0,40,74
51,58,10,9,42,62,30,77,40,0,2002,45,74
51,38,16,14,42,59,30,1,40,0,0,40,74
25,58,10,9,42,50,30,77,40,0,0,30,74
26,58,15,13,45,0,47,4,19,0,0,40,74
31,58,16,14,45,59,47,77,40,0,0,30,74
43,58,15,13,42,59,30,77,40,0,1902,40,74
47,64,10,9,42,17,30,77,40,15024,0,40,74
27,65,10,9,45,9,47,77,40,0,0,30,74
33,58,9,8,42,60,30,77,40,0,0,40,74
48,68,16,14,42,59,30,77,40,15024,0,40,74
49,58,15,13,42,16,30,77,40,0,0,45,74
50,38,10,9,42,50,30,4,40,0,0,40,74
22,58,14,10,45,59,47,77,19,0,0,35,74
50,58,15,13,11,16,47,77,40,0,0,55,74
54,38,10,9,42,72,30,77,40,0,0,40,74
48,64,11,15,42,59,30,77,40,15024,0,40,74
54,58,14,10,42,17,30,77,40,0,0,50,74
23,58,15,13,45,16,47,77,19,0,0,45,74
27,58,14,10,45,0,52,77,19,0,0,40,74
62,65,5,4,78,50,47,77,19,0,0,66,74
40,58,14,10,42,62,49,77,40,0,0,40,74
33,58,14,10,11,0,47,77,19,0,0,40,74
27,68,16,14,45,16,47,77,40,0,0,40,63
27,58,10,9,42,9,30,77,40,0,0,45,74
27,64,10,9,42,9,30,77,40,0,1740,40,74
24,68,15,13,45,0,47,77,19,0,0,65,74
64,38,10,9,78,16,47,77,40,0,0,40,74
25,58,15,13,45,59,47,77,19,0,1876,40,74
25,58,10,9,42,72,30,4,40,0,0,40,74
50,58,14,10,11,50,52,77,40,0,0,28,74
61,58,7,6,78,17,75,77,40,0,0,20,74
46,58,10,9,42,72,30,77,40,0,0,70,74
25,68,14,10,45,72,47,4,40,0,0,40,74
18,58,8,7,45,50,52,77,40,1055,0,20,74
56,58,10,9,42,9,30,77,40,0,0,48,74
40,65,10,9,42,9,30,77,40,3411,0,40,74
22,58,12,12,45,25,52,77,40,0,0,20,74
38,68,15,13,42,59,30,3,40,7688,0,60,31
33,58,10,9,45,17,47,77,40,0,0,40,74
37,58,15,13,42,16,30,77,40,0,0,50,74
42,58,14,10,42,50,30,77,40,0,0,40,74
49,58,16,14,42,59,30,77,40,0,0,50,74
31,58,10,9,45,9,49,77,40,0,0,40,74
29,58,10,9,42,39,30,77,40,0,0,40,74
49,58,10,9,11,0,47,77,19,0,0,40,74
20,58,14,10,45,59,52,77,40,0,0,20,74
21,58,14,10,45,50,52,77,19,0,0,35,74
57,38,10,9,42,72,30,77,40,0,0,72,74
48,68,10,9,42,60,30,77,40,0,0,40,74
51,58,10,9,11,59,47,77,19,0,0,43,74
27,58,11,15,45,59,47,77,19,0,0,45,74
56,58,14,10,42,16,30,4,40,0,0,50,74
51,58,14,10,42,9,30,77,40,0,1977,60,74
50,18,10,9,42,0,30,77,40,0,0,48,74
17,58,8,7,45,50,49,77,19,0,0,22,74
41,58,13,11,66,50,47,77,40,0,0,40,74
33,58,15,13,42,0,30,77,40,0,1902,45,74
38,58,14,10,11,59,47,77,19,0,0,32,74
36,58,15,13,42,16,30,77,40,0,1887,40,74
28,58,10,9,42,0,79,77,19,0,0,40,74
43,68,10,9,45,0,47,77,19,0,0,40,74
20,58,14,10,45,50,52,77,19,0,0,40,74
21,58,14,10,45,62,52,77,19,0,0,15,74
34,64,15,13,11,16,47,77,40,0,0,50,74
24,68,10,9,42,72,30,77,40,0,0,49,74
23,58,10,9,45,0,52,77,19,0,0,40,74
27,58,13,11,42,50,30,77,40,0,0,60,74
30,58,15,13,45,0,47,77,19,0,0,40,74
21,58,14,10,11,9,52,77,40,0,0,40,74
35,58,10,9,42,9,30,4,40,0,0,60,74
25,58,15,13,45,70,47,77,40,0,0,60,74
39,58,2,2,42,9,30,77,40,0,0,45,44
28,58,14,10,45,50,47,77,40,0,0,35,74
25,58,14,10,45,50,52,77,19,0,0,40,74
48,64,16,14,42,62,30,77,40,0,0,40,74
34,58,10,9,11,0,47,4,40,0,0,42,74
21,58,14,10,45,9,47,77,40,0,0,50,74
44,38,10,9,42,39,30,77,40,0,0,40,74
45,64,15,13,42,39,30,77,40,0,0,60,74
75,65,10,9,42,17,30,77,40,0,0,20,74
36,58,14,10,11,0,75,77,19,0,0,40,74
43,58,10,9,11,0,47,77,19,0,0,40,74
26,65,13,11,45,50,47,77,19,0,0,35,74
44,38,15,13,42,59,30,77,40,0,0,40,74
58,58,10,9,42,39,30,77,40,0,0,40,74
53,58,10,9,78,39,75,4,19,0,0,38,74
58,65,10,9,11,16,47,77,40,0,0,70,74
55,58,10,9,42,9,30,77,40,0,0,40,74
40,58,15,13,42,62,30,77,40,0,0,50,74
37,58,10,9,11,62,75,77,19,0,0,40,74
50,58,16,14,42,16,30,3,40,7298,0,40,54
24,68,16,14,45,59,47,77,40,0,0,13,74
42,58,14,10,11,50,75,77,19,0,0,32,74
22,58,10,9,42,17,30,77,40,0,0,45,74
34,58,13,11,42,50,30,77,40,0,0,40,74
46,58,15,13,45,59,52,77,40,0,0,60,74
20,58,10,9,45,9,52,77,40,0,0,40,74
51,68,14,10,11,59,47,77,19,0,0,40,74
48,58,14,10,42,62,30,4,40,0,0,40,74
24,58,14,10,45,62,49,4,19,0,0,40,74
40,65,11,15,11,50,47,77,19,0,2339,35,74
47,58,14,10,42,16,30,3,40,0,0,40,74
40,68,13,11,45,9,47,77,40,0,0,40,74
58,68,17,16,42,59,30,3,40,4064,0,40,31
51,68,10,9,45,72,47,77,40,0,0,40,74
29,58,14,10,42,70,30,77,40,0,0,40,74
32,58,5,4,42,9,30,77,40,0,0,40,74
34,58,15,13,45,0,47,77,19,0,0,40,74
23,58,14,10,66,62,75,77,19,0,0,40,74
28,38,15,13,45,59,47,4,19,0,0,60,74
33,65,12,12,45,50,47,4,40,0,0,32,74
58,38,10,9,42,72,30,77,40,0,0,48,74
48,58,15,13,42,16,30,77,40,7688,0,65,74
28,58,10,9,11,25,75,77,19,0,0,36,74
20,58,14,10,45,62,52,77,19,0,0,30,74
52,38,14,10,78,0,47,77,19,0,0,24,74
69,58,10,9,78,0,75,77,40,0,0,8,74
17,58,8,7,45,59,52,77,40,0,0,40,74
42,58,10,9,42,0,79,77,19,0,0,35,74
67,64,15,13,42,16,30,77,40,0,0,16,74
29,58,14,10,42,9,30,77,40,0,0,55,74
37,58,10,9,45,17,47,4,40,0,0,40,74
19,58,10,9,45,39,52,77,40,0,0,40,74
26,58,8,7,45,25,75,77,40,0,0,20,74
36,65,10,9,42,17,30,77,40,0,1902,60,74
44,58,8,7,42,0,30,77,40,0,0,40,74
31,58,10,9,42,59,30,77,40,0,0,55,74
34,58,13,11,42,59,30,77,40,7298,0,45,74
45,58,15,13,11,59,75,77,19,0,0,48,74
32,58,15,13,42,59,30,77,40,0,0,60,74
26,58,14,10,11,16,47,77,19,0,0,40,74
36,38,15,13,42,59,30,77,40,0,1672,50,74
21,58,10,9,45,62,49,77,40,0,0,45,74
28,58,13,11,42,50,30,77,40,0,0,40,74
29,58,15,13,45,62,47,77,40,0,0,40,74
34,58,10,9,11,62,47,77,40,0,1669,45,74
20,58,14,10,45,0,52,77,19,0,0,15,74
41,58,15,13,42,16,30,77,40,0,0,60,74
29,58,15,13,42,50,30,77,40,0,0,40,74
43,65,15,13,11,16,47,77,40,0,0,60,74
37,58,10,9,11,50,75,77,19,0,0,12,74
31,58,15,13,42,16,30,77,40,0,0,40,74
60,58,10,9,42,62,30,77,40,7298,0,65,74
35,58,15,13,45,50,47,77,40,0,0,38,74
19,58,10,9,45,17,52,77,40,0,0,40,74
54,58,10,9,42,62,30,77,40,4064,0,55,74
51,58,10,9,42,0,30,77,40,0,0,50,74
60,58,3,3,11,39,47,77,19,0,0,40,61
73,58,10,9,42,72,30,77,40,0,0,16,6
50,58,10,9,42,9,30,77,40,0,0,40,74
30,58,14,10,45,9,75,4,40,0,0,40,74
41,58,10,9,42,39,30,77,40,0,0,40,74
44,58,10,9,42,0,79,77,19,0,0,30,74
53,58,10,9,42,39,30,77,40,0,0,40,74
25,58,14,10,42,0,30,77,40,0,0,40,74
23,58,16,14,42,59,30,3,40,0,1887,50,31
51,58,14,10,11,0,75,77,19,0,0,40,74
51,58,8,7,42,9,30,77,40,0,0,40,74
26,58,1,1,43,39,47,77,40,0,1719,40,44
50,38,14,10,42,0,30,77,40,0,1740,48,74
34,58,14,10,42,9,30,77,40,0,0,40,74
26,58,15,13,45,39,49,77,40,0,0,40,74
35,58,10,9,45,16,47,77,40,0,0,45,74
38,68,17,16,42,59,30,3,40,0,0,40,69
30,38,14,10,42,9,30,77,40,0,0,40,74
48,58,10,9,11,9,75,77,40,0,0,40,74
46,58,14,10,42,9,49,3,40,0,0,40,31
22,58,10,9,45,50,47,77,19,0,0,40,74
50,58,5,4,11,50,49,77,19,0,0,40,74
27,65,14,10,45,9,47,77,40,0,0,35,74
56,58,14,10,42,62,30,77,40,0,0,40,74
39,68,15,13,11,60,47,77,40,0,0,40,44
52,58,14,10,11,16,47,77,19,0,0,50,74
49,58,14,10,45,9,52,77,40,0,0,40,74
39,58,16,14,42,72,30,77,40,0,0,40,55
48,64,14,10,11,16,47,77,40,0,0,40,74
45,58,15,13,11,16,75,77,19,0,0,40,74
45,65,10,9,43,9,47,3,40,0,0,40,71
71,64,16,14,42,16,30,77,40,99999,0,40,74
52,58,10,9,42,62,30,77,40,0,0,45,74
43,68,10,9,11,70,47,77,19,0,0,40,74
47,58,14,10,42,0,30,77,40,0,0,45,44
45,58,10,9,11,9,47,77,40,0,0,40,74
35,58,14,10,42,25,30,77,40,0,0,40,74
43,65,10,9,11,9,52,77,40,0,0,35,74
39,58,12,12,45,9,47,77,40,0,0,40,74
48,18,10,9,11,25,47,77,40,0,0,40,74
18,38,5,4,45,17,52,77,40,0,0,40,74
53,58,14,10,42,70,30,77,40,0,0,40,74
42,58,10,9,42,9,30,77,40,0,0,55,74
43,64,10,9,11,9,75,77,40,5455,0,50,74
23,58,10,9,45,59,47,77,40,0,0,40,6
39,58,10,9,45,39,52,77,40,0,0,40,74
21,58,14,10,45,25,47,77,40,0,0,20,74
32,65,7,6,11,9,47,77,40,0,0,40,74
37,65,15,13,42,59,30,77,40,0,0,5,74
39,64,15,13,42,16,30,77,40,0,0,45,74
37,58,10,9,11,0,75,77,19,0,0,40,44
19,68,14,10,45,59,52,77,40,0,0,25,74
53,65,14,10,42,17,30,77,40,0,0,45,74
25,58,15,13,45,0,47,77,19,0,0,40,74
37,58,10,9,42,39,30,77,40,0,0,40,74
34,58,10,9,11,39,47,77,40,0,0,40,74
41,58,10,9,42,72,30,77,40,0,0,50,74
57,65,14,10,42,16,30,77,40,0,0,55,74
40,58,10,9,42,59,30,1,40,0,0,50,74
30,58,13,11,42,72,30,77,40,0,0,40,74
32,58,13,11,42,39,30,77,40,0,0,40,74
37,58,14,10,42,62,30,77,40,0,0,44,74
30,58,16,14,45,70,75,77,40,0,0,45,46
41,65,14,10,42,62,30,77,40,0,0,60,44
34,58,14,10,42,59,30,77,40,0,1902,38,74
31,65,14,10,42,9,30,77,40,0,0,40,74
38,58,15,13,11,70,49,77,40,0,0,40,74
41,58,14,10,11,9,47,77,19,0,0,50,74
75,64,10,9,42,0,30,77,40,0,0,26,74
40,58,15,13,11,59,47,77,19,0,0,45,74
23,58,14,10,45,17,47,77,19,0,0,50,74
25,58,10,9,11,62,75,77,19,0,0,37,74
35,38,10,9,11,17,52,3,40,0,0,56,74
50,65,15,13,42,16,30,77,40,0,0,13,74
38,58,14,10,42,16,30,77,40,0,0,45,74
20,58,14,10,45,62,52,77,40,0,0,20,74
37,58,14,10,42,62,30,77,40,0,0,45,74
19,58,9,8,66,59,52,77,19,1055,0,40,74
18,58,8,7,45,9,52,77,40,0,0,30,74
36,58,14,10,11,16,75,4,19,0,0,38,74
25,58,15,13,42,70,30,77,40,0,0,35,74
21,58,14,10,45,50,52,77,40,0,0,35,74
67,64,10,9,42,72,30,77,40,0,0,40,74
61,58,14,10,45,57,47,77,19,0,0,40,74
37,64,14,10,42,16,30,77,40,0,0,50,74
26,58,10,9,42,9,30,77,40,0,0,40,74
29,58,15,13,11,50,75,48,19,0,0,40,74
38,58,15,13,42,9,30,77,40,0,0,40,74
21,58,10,9,45,62,52,77,19,0,0,30,74
24,58,10,9,42,9,30,77,40,0,0,60,44
40,68,10,9,42,9,30,77,40,0,0,40,74
36,58,10,9,42,50,79,3,19,0,0,40,67
36,58,10,9,78,50,75,3,19,0,0,20,74
33,65,13,11,42,17,30,77,40,0,0,62,74
62,58,13,11,42,70,30,77,40,0,0,40,74
47,64,10,9,42,16,30,77,40,0,0,40,74
49,58,10,9,42,9,30,77,40,0,0,46,74
47,58,10,9,45,9,47,77,40,0,0,40,74
31,38,15,13,42,59,30,77,40,0,0,40,74
48,64,10,9,42,16,30,77,40,7688,0,40,74
46,58,13,11,42,70,30,77,40,0,0,40,74
67,58,10,9,42,60,30,77,40,0,0,24,74
21,58,14,10,45,0,52,77,19,0,0,20,74
27,64,14,10,66,62,52,77,19,0,0,40,74
17,58,7,6,45,50,52,77,40,0,0,40,74
26,58,14,10,45,39,47,3,40,0,0,40,54
21,58,14,10,45,50,52,77,19,0,0,40,74
30,58,14,10,11,62,52,77,40,0,0,40,74
50,58,13,11,42,72,30,77,40,3103,0,55,74
28,58,10,9,42,16,30,4,40,15024,0,40,74
17,58,7,6,45,50,52,4,19,0,0,12,74
29,58,10,9,42,9,30,77,40,0,0,40,74
22,58,10,9,45,17,52,77,40,0,0,40,74
50,58,15,13,42,62,30,77,40,0,0,40,74
20,58,14,10,45,62,47,77,19,0,0,50,74
45,58,10,9,11,62,47,77,19,0,0,55,74
20,58,14,10,45,62,47,77,40,0,0,25,74
61,18,14,10,42,0,30,77,40,9386,0,40,74
21,58,10,9,45,0,52,77,19,0,0,40,74
36,58,8,7,42,9,30,77,40,5178,0,40,74
46,58,15,13,78,70,75,77,19,0,0,38,74
57,18,11,15,11,59,47,77,19,0,0,50,74
36,58,8,7,42,9,30,77,40,0,0,40,74
39,58,10,9,42,72,30,77,40,0,0,60,74
68,58,3,3,43,62,47,77,40,0,0,22,74
28,58,14,10,42,9,30,1,40,0,0,60,74
32,38,16,14,45,59,47,77,19,0,0,40,74
34,58,10,9,45,59,47,77,19,0,1669,45,74
29,18,15,13,42,16,30,77,40,7688,0,40,74
28,58,11,15,45,59,47,4,40,0,0,50,74
59,58,10,9,42,0,30,77,40,2414,0,15,74
36,58,15,13,42,70,30,77,40,0,0,40,74
36,58,10,9,42,9,30,77,40,0,0,40,74
42,58,11,15,42,59,30,77,40,7298,0,35,74
63,65,5,4,78,17,75,77,19,0,0,10,74
34,65,15,13,42,62,30,77,40,0,0,30,74
31,64,10,9,45,9,47,77,40,0,0,45,74
17,58,7,6,45,50,52,77,40,0,0,20,74
18,58,9,8,45,50,52,77,40,0,0,30,74
24,58,8,7,11,62,75,77,19,0,0,35,74
49,58,10,9,11,9,47,77,40,0,0,50,74
36,58,14,10,45,62,47,77,40,0,0,50,74
22,65,14,10,45,9,47,77,40,0,0,48,74
56,65,3,3,42,16,30,77,40,0,1887,67,74
57,58,15,13,11,16,47,77,19,0,0,45,74
54,64,10,9,42,16,30,77,40,7688,0,60,74
47,58,5,4,42,39,79,4,19,0,0,35,74
54,58,14,10,42,9,30,77,40,0,0,40,74
23,58,10,9,45,62,47,77,19,2463,0,40,74
41,58,14,10,42,59,30,77,40,0,0,40,74
51,68,17,16,42,59,30,77,40,0,0,40,74
21,58,14,10,45,50,52,77,40,0,0,15,74
45,38,15,13,42,59,30,4,40,0,0,40,74
21,58,14,10,45,62,49,77,40,0,0,64,74
23,58,12,12,45,59,52,77,40,0,0,40,74
38,58,14,10,11,9,75,77,40,0,0,40,74
44,58,17,16,42,16,30,3,40,15024,0,40,36
42,58,15,13,42,16,30,77,40,3137,0,40,74
34,38,15,13,42,59,30,77,40,0,0,45,44
39,58,10,9,42,25,30,77,40,0,0,40,74
