age,workclass,education,education_num,marital_status,occupation,sex,hours_per_week
43,57,16,14,41,58,39,40
35,57,10,9,41,9,39,40
29,57,10,9,11,61,39,45
40,57,14,10,41,9,39,40
50,18,10,9,41,0,39,40
39,57,13,11,44,38,39,40
19,18,10,9,40,61,19,40
52,57,15,13,41,58,39,38
39,57,3,3,41,25,39,40
26,57,10,9,11,9,39,40
39,57,14,10,11,0,19,45
31,57,1,1,44,49,19,35
28,57,16,14,44,58,39,50
43,57,10,9,11,0,39,38
54,57,10,9,41,0,39,40
28,57,8,7,44,38,19,40
59,57,8,7,41,61,39,60
26,57,13,11,44,61,39,65
45,57,14,10,41,61,39,45
44,57,14,10,65,0,19,38
27,57,6,5,41,17,39,40
28,37,10,9,65,71,19,25
51,67,10,9,44,71,39,40
20,57,14,10,44,61,39,20
33,18,11,15,44,58,19,65
75,57,14,10,77,58,19,8
54,64,14,10,41,61,39,50
40,57,10,9,41,61,19,30
55,57,10,9,41,9,39,40
22,57,14,10,44,59,39,25
27,57,10,9,44,61,39,40
33,37,10,9,41,9,39,40
40,64,12,12,44,58,19,2
52,37,16,14,41,58,39,50
39,63,15,13,41,58,19,40
34,57,14,10,41,16,39,50
30,57,10,9,41,25,39,66
20,57,14,10,65,49,19,30
52,57,7,6,11,49,19,25
22,57,10,9,41,49,39,40
46,57,15,13,41,16,39,40
55,57,17,16,41,58,39,40
73,37,3,3,41,59,39,20
41,64,13,11,41,17,39,60
53,57,10,9,65,9,39,35
49,67,15,13,41,0,39,40
21,57,1,1,44,17,39,50
24,18,14,10,11,0,19,25
49,63,14,10,41,58,19,65
22,57,14,10,44,71,19,30
59,57,10,9,11,38,19,40
28,57,15,13,41,58,19,40
38,37,15,13,41,16,39,40
21,57,14,10,44,61,19,20
24,57,7,6,44,61,39,49
28,57,15,13,44,58,19,40
38,57,11,15,41,58,39,60
31,67,16,14,11,16,19,50
22,57,14,10,44,0,19,40
41,37,13,11,11,58,19,40
22,67,15,13,44,58,19,40
57,67,17,16,11,58,39,60
34,57,10,9,11,25,19,40
24,57,10,9,44,9,39,40
41,57,12,12,11,9,39,40
31,57,14,10,44,9,39,46
36,57,8,7,44,9,19,40
43,57,10,9,41,0,39,40
44,57,14,10,41,61,39,45
50,67,15,13,41,16,39,40
24,57,10,9,42,61,19,36
40,57,7,6,41,71,39,40
39,57,10,9,44,0,19,40
17,57,7,6,44,49,19,6
45,63,14,10,41,9,39,55
47,57,14,10,11,0,19,36
36,57,14,10,44,49,39,48
45,57,14,10,44,49,39,40
47,57,8,7,11,0,19,40
31,57,10,9,41,16,39,40
17,57,8,7,44,49,39,17
30,57,10,9,41,71,39,73
25,57,15,13,44,0,39,30
29,57,13,11,44,0,19,40
39,57,14,10,41,38,39,40
40,57,15,13,41,58,39,40
45,57,2,2,41,49,19,40
38,57,14,10,41,61,39,50
18,37,7,6,44,49,39,25
52,57,10,9,41,71,39,55
32,57,8,7,11,49,19,40
52,18,15,13,41,16,39,45
35,57,10,9,44,9,39,50
21,57,14,10,44,25,39,25
31,57,15,13,44,9,39,40
69,57,15,13,11,25,39,40
52,57,14,10,11,0,19,60
43,67,16,14,44,58,39,45
45,67,10,9,11,0,19,40
48,64,10,9,11,9,39,60
43,64,14,10,41,17,39,84
36,64,15,13,44,17,39,50
45,64,7,6,41,9,39,70
35,57,13,11,41,9,39,50
46,57,14,10,11,0,19,35
37,67,10,9,11,0,19,35
79,57,10,9,42,58,39,6
73,63,15,13,41,61,39,50
33,57,13,11,11,61,39,40
21,57,10,9,41,9,39,37
32,64,14,10,41,61,39,50
29,57,9,8,41,71,39,40
27,57,15,13,44,49,39,35
23,18,14,10,44,61,19,35
41,57,10,9,41,0,19,40
34,57,10,9,44,0,19,40
42,57,15,13,41,0,19,40
37,57,10,9,41,71,39,42
28,57,10,9,44,25,39,30
21,57,14,10,44,49,19,35
22,18,10,9,44,0,39,40
28,57,15,13,41,49,39,50
41,37,10,9,11,16,19,40
29,67,16,14,44,58,19,35
22,57,10,9,44,25,39,40
48,64,14,10,11,25,19,40
50,57,10,9,41,9,39,2
41,67,10,9,41,69,39,40
35,57,10,9,41,9,39,38
48,64,10,9,11,58,39,15
39,37,9,8,41,69,39,50
36,57,15,13,41,61,19,35
47,63,3,3,41,71,39,50
53,37,10,9,77,49,19,30
33,57,10,9,41,71,39,55
52,57,13,11,41,16,39,40
42,37,16,14,41,58,39,55
17,57,8,7,44,0,19,10
51,57,15,13,65,0,19,40
37,57,15,13,41,58,19,16
31,57,10,9,41,38,39,40
49,57,16,14,41,58,39,43
39,57,10,9,41,49,39,40
38,57,15,13,41,61,39,50
33,57,10,9,41,9,39,40
47,57,14,10,11,69,19,40
30,57,14,10,41,0,39,50
40,57,13,11,11,58,39,40
51,57,14,10,11,16,19,40
68,64,10,9,41,16,39,10
24,57,10,9,41,17,39,35
48,57,12,12,11,49,39,44
24,57,12,12,44,38,39,40
42,57,14,10,41,69,39,40
21,57,14,10,44,16,19,40
23,57,13,11,44,16,39,40
29,57,15,13,41,9,39,40
49,63,14,10,41,61,39,50
42,57,10,9,11,49,19,35
34,57,10,9,41,9,39,40
22,57,14,10,44,61,39,25
45,63,17,16,41,58,39,60
33,57,14,10,65,58,19,37
42,64,13,11,41,58,39,40
25,57,14,10,44,49,39,30
32,57,13,11,44,9,39,44
26,57,14,10,44,49,39,40
53,57,10,9,41,9,39,40
60,18,15,13,41,0,39,40
65,57,10,9,41,17,39,24
30,57,10,9,44,49,19,40
63,57,15,13,77,0,19,25
29,57,10,9,65,38,39,40
22,57,10,9,44,25,39,50
36,57,14,10,41,16,39,60
28,57,15,13,41,0,39,40
30,57,6,5,41,9,39,40
36,57,16,14,44,58,19,40
22,57,10,9,41,49,39,20
29,57,15,13,41,58,39,40
34,57,10,9,41,0,19,20
20,57,14,10,44,58,39,20
35,57,15,13,44,61,19,40
42,57,2,2,41,38,39,40
27,57,15,13,41,58,39,40
42,57,10,9,11,16,19,40
33,57,15,13,44,58,39,50
54,57,10,9,41,9,39,40
29,18,14,10,41,69,39,40
29,57,10,9,41,25,39,45
32,67,10,9,44,71,39,40
39,57,15,13,44,58,19,63
47,57,14,10,11,49,19,40
46,57,12,12,41,38,39,40
45,18,14,10,41,0,39,40
34,57,10,9,65,9,39,45
43,57,15,13,41,71,39,45
34,57,14,10,65,16,19,40
27,57,10,9,44,61,39,30
24,57,3,3,42,17,39,40
37,57,10,9,41,0,19,60
43,57,15,13,41,16,39,40
32,57,10,9,44,38,39,40
64,57,8,7,41,61,39,40
50,57,8,7,41,38,39,40
34,37,14,10,44,9,39,40
53,57,10,9,41,38,39,30
19,57,10,9,44,71,39,30
28,57,16,14,44,58,19,40
26,57,16,14,44,58,39,20
50,57,10,9,41,9,39,40
40,57,9,8,41,71,39,40
50,57,14,10,41,69,39,40
28,57,10,9,65,16,19,50
46,63,16,14,11,61,39,60
42,57,10,9,11,0,19,40
38,57,10,9,41,9,39,50
42,57,12,12,11,0,39,40
23,57,14,10,44,38,39,40
21,57,14,10,44,61,39,10
45,57,10,9,41,71,39,40
62,64,5,4,77,17,19,35
52,57,10,9,11,61,19,40
29,57,10,9,44,25,19,40
44,57,13,11,41,9,39,40
33,57,10,9,11,71,39,55
43,37,16,14,41,58,19,40
39,57,10,9,41,25,39,40
47,57,10,9,41,0,39,40
39,67,10,9,41,59,39,50
26,57,10,9,41,9,39,60
42,57,10,9,11,0,39,40
18,57,14,10,44,49,19,20
29,57,13,11,41,9,39,40
64,57,14,10,77,0,19,40
30,57,10,9,41,38,39,40
31,57,14,10,65,25,39,40
21,57,14,10,44,61,19,30
30,57,8,7,41,49,39,40
32,57,15,13,41,16,19,40
31,57,10,9,41,9,39,60
34,57,15,13,41,58,39,40
75,67,17,16,41,58,39,20
21,57,14,10,44,49,19,25
20,57,14,10,44,25,19,40
28,18,15,13,44,69,19,40
43,64,15,13,11,58,39,70
36,57,8,7,65,38,39,40
27,57,13,11,11,61,19,40
31,57,14,10,41,49,39,35
37,57,2,2,41,38,39,40
46,57,13,11,44,16,19,40
40,57,10,9,41,71,39,60
25,57,16,14,44,49,19,37
31,57,13,11,44,49,19,40
64,57,14,10,41,0,39,40
59,57,16,14,77,58,19,40
20,57,14,10,41,61,39,35
23,67,14,10,44,0,39,25
32,57,10,9,41,71,39,40
31,57,10,9,41,17,39,40
37,57,16,14,41,16,39,50
36,57,10,9,41,61,39,50
39,57,15,13,41,58,39,40
44,57,13,11,41,69,39,40
59,57,10,9,11,49,39,40
41,64,14,10,11,9,39,40
40,57,10,9,11,9,19,40
51,57,10,9,41,9,39,50
20,57,14,10,44,49,39,40
30,57,15,13,44,16,19,40
48,57,14,10,11,0,19,45
20,57,12,12,44,16,19,40
59,37,6,5,41,49,39,40
38,57,10,9,44,58,19,40
41,57,15,13,41,58,39,40
32,57,15,13,11,61,19,30
47,57,13,11,41,61,39,40
25,57,15,13,44,58,19,30
37,57,15,13,65,16,19,40
56,57,15,13,44,16,19,45
24,57,14,10,44,0,19,40
46,57,14,10,44,16,39,40
29,57,8,7,44,38,39,48
50,57,10,9,41,38,39,50
21,57,10,9,41,38,39,40
22,57,10,9,44,25,39,35
36,64,10,9,41,9,39,80
38,57,15,13,41,61,39,40
54,57,16,14,41,58,39,40
52,57,5,4,41,16,19,50
52,37,16,14,44,58,39,32
26,57,8,7,41,49,39,25
41,67,16,14,44,58,39,40
30,57,15,13,41,16,39,42
30,57,10,9,41,61,39,40
32,57,14,10,41,61,39,40
49,64,12,12,11,61,39,50
19,57,10,9,44,25,39,30
23,57,7,6,44,49,19,40
54,57,14,10,11,0,19,40
25,37,15,13,44,16,19,20
43,57,7,6,41,0,39,40
44,57,10,9,41,38,39,48
24,67,16,14,44,58,39,20
36,37,15,13,65,58,39,40
31,57,16,14,44,58,39,40
48,57,10,9,44,38,39,40
42,57,15,13,41,69,39,50
27,57,10,9,41,9,39,50
60,64,10,9,41,16,39,48
27,67,10,9,44,71,39,38
62,57,6,5,77,49,19,25
27,57,14,10,41,61,39,40
43,57,10,9,11,0,19,40
66,63,10,9,41,0,19,40
41,57,16,14,41,58,39,45
39,57,8,7,11,71,39,40
19,57,12,12,44,16,19,50
43,57,15,13,41,61,39,40
44,57,14,10,41,61,39,50
28,57,15,13,41,16,19,40
61,57,10,9,41,9,39,55
22,57,15,13,44,16,19,30
61,37,16,14,11,58,19,70
17,57,7,6,44,61,19,12
47,57,15,13,44,16,39,50
39,37,15,13,77,58,19,10
24,57,10,9,44,49,39,40
49,67,14,10,11,0,19,50
28,57,10,9,44,69,39,40
19,57,10,9,44,9,39,40
38,57,14,10,11,38,19,28
20,57,14,10,44,0,19,40
33,57,15,13,41,58,39,25
51,57,13,11,11,0,19,38
46,57,15,13,41,61,39,40
69,57,15,13,41,25,39,20
44,57,6,5,44,49,19,40
21,57,10,9,44,0,19,30
40,57,16,14,41,16,39,40
43,64,10,9,11,9,39,30
47,57,14,10,41,38,39,40
47,57,10,9,11,38,19,30
48,57,12,12,41,58,19,30
37,57,14,10,41,71,39,40
30,57,10,9,41,9,39,35
44,64,14,10,11,49,39,45
44,37,16,14,41,58,19,40
43,67,10,9,44,0,19,40
20,57,14,10,44,38,39,40
34,57,15,13,41,58,39,40
46,57,14,10,41,71,39,48
36,37,15,13,44,59,39,60
22,57,10,9,41,61,39,45
37,57,17,16,41,58,19,35
30,57,5,4,65,25,39,40
45,57,7,6,11,49,19,40
23,57,15,13,44,0,19,35
47,57,15,13,41,16,39,60
45,57,14,10,41,16,39,60
38,57,14,10,44,58,39,45
17,57,8,7,44,56,19,9
25,57,3,3,41,25,39,40
40,57,14,10,11,25,19,84
47,57,10,9,11,9,19,43
62,57,7,6,77,25,19,40
34,57,14,10,11,61,19,40
54,57,14,10,11,0,19,40
33,57,14,10,41,16,39,45
64,37,10,9,77,49,19,40
29,57,10,9,44,49,19,40
49,57,13,11,11,58,19,38
29,57,15,13,44,0,19,40
37,57,10,9,44,71,39,50
45,57,14,10,11,69,19,40
44,57,14,10,44,0,19,40
39,57,10,9,44,38,19,40
41,57,14,10,11,0,19,40
39,57,14,10,44,0,39,40
42,57,8,7,65,49,19,38
22,57,14,10,41,9,39,40
25,64,13,11,41,49,19,45
41,57,10,9,11,49,19,40
75,57,13,11,77,0,19,20
21,57,14,10,44,58,19,10
61,57,16,14,77,58,19,40
29,57,14,10,11,0,19,40
24,57,10,9,44,9,39,40
52,57,15,13,42,16,19,42
21,57,10,9,44,49,19,30
22,57,10,9,44,61,39,55
31,57,3,3,44,49,39,40
33,57,10,9,41,38,39,40
28,64,15,13,41,61,19,5
43,57,10,9,41,25,39,40
38,57,10,9,41,61,39,50
27,57,10,9,65,49,19,50
18,57,9,8,44,49,19,25
72,79,10,9,41,49,39,55
31,57,10,9,41,38,39,50
20,57,14,10,44,69,19,10
25,64,10,9,44,17,39,50
29,67,14,10,44,0,19,40
25,57,10,9,44,71,39,40
19,57,14,10,44,49,39,20
30,57,10,9,44,61,39,40
26,57,13,11,11,58,19,40
23,57,10,9,44,0,19,40
40,57,14,10,65,16,19,40
38,57,10,9,11,49,19,40
46,57,10,9,41,58,39,40
56,57,14,10,41,0,39,35
24,37,14,10,11,25,39,50
19,57,10,9,44,61,39,3
24,57,15,13,44,61,39,30
22,57,10,9,44,49,19,40
59,57,10,9,11,9,39,38
17,57,8,7,44,25,39,12
43,57,15,13,41,58,39,42
36,57,15,13,41,16,39,50
20,57,10,9,44,25,39,40
35,57,7,6,44,0,39,40
47,57,16,14,44,58,19,35
48,57,12,12,41,16,39,40
23,57,14,10,44,49,19,40
32,57,6,5,41,71,39,50
21,57,7,6,44,0,19,39
24,57,16,14,44,58,19,40
34,57,14,10,44,9,39,40
32,57,14,10,11,61,19,55
63,57,10,9,77,49,19,24
57,57,10,9,77,0,19,36
36,57,12,12,44,0,19,40
23,57,14,10,44,9,39,40
50,64,10,9,77,16,19,48
22,57,10,9,44,0,19,40
62,67,15,13,41,16,39,40
19,57,14,10,44,61,19,20
41,57,13,11,65,9,39,30
25,57,14,10,44,38,39,40
28,57,7,6,44,71,39,30
68,64,14,10,41,61,39,40
56,37,15,13,41,58,39,40
49,57,15,13,41,16,39,45
24,57,10,9,41,25,39,70
22,57,2,2,44,38,39,24
30,57,10,9,44,38,19,40
53,18,14,10,77,0,19,40
27,57,15,13,44,58,39,40
26,57,15,13,44,58,39,50
32,57,14,10,44,0,19,40
39,57,14,10,11,16,39,50
28,57,10,9,44,9,39,40
45,57,14,10,41,71,39,55
38,64,14,10,44,61,39,60
42,57,11,15,41,58,39,60
20,57,14,10,44,0,19,15
36,57,10,9,77,49,19,40
47,64,10,9,41,16,39,50
43,57,10,9,11,71,39,60
33,57,14,10,41,16,39,45
23,18,12,12,44,16,19,40
37,57,10,9,41,9,39,45
22,57,10,9,44,9,19,40
59,57,10,9,41,58,19,38
17,57,8,7,44,9,19,15
64,57,7,6,41,0,39,40
45,57,10,9,41,38,39,40
42,57,14,10,41,58,39,45
47,64,14,10,41,49,19,52
45,37,10,9,41,9,39,40
43,37,15,13,65,58,19,40
36,57,10,9,41,71,39,50
42,64,14,10,41,17,19,50
18,57,7,6,44,38,39,30
30,57,10,9,41,61,19,40
41,57,15,13,11,49,39,40
45,57,8,7,77,49,19,40
32,64,15,13,41,61,39,47
23,57,14,10,11,61,19,40
45,57,10,9,11,38,19,40
36,57,15,13,44,16,39,55
32,64,13,11,41,58,39,60
60,57,15,13,41,16,39,50
29,57,11,15,44,58,39,50
36,57,10,9,41,71,39,25
60,57,12,12,41,61,39,30
39,57,7,6,11,49,19,40
63,37,5,4,41,49,39,55
28,37,15,13,44,58,39,50
33,37,14,10,41,59,39,40
21,57,14,10,44,58,19,10
49,57,16,14,41,58,19,50
20,57,10,9,41,9,39,40
25,57,14,10,44,25,39,40
40,64,15,13,41,0,39,40
61,57,10,9,41,71,39,40
34,57,15,13,41,16,39,50
19,57,10,9,44,0,19,26
29,57,15,13,44,16,39,40
64,57,14,10,65,49,39,40
35,64,10,9,41,9,19,40
62,57,11,15,41,58,39,30
30,57,15,13,41,58,39,40
34,37,16,14,65,58,19,40
38,57,15,13,44,0,19,50
23,57,10,9,41,61,39,40
32,57,10,9,44,38,19,40
18,57,9,8,44,61,19,35
37,57,15,13,41,9,39,45
24,57,14,10,44,25,19,30
24,37,14,10,44,59,19,40
31,57,7,6,44,0,19,40
24,57,8,7,44,9,39,35
52,57,3,3,42,9,39,40
26,57,10,9,11,38,39,40
30,57,9,8,41,9,39,50
19,57,14,10,44,49,39,30
29,37,10,9,65,59,19,40
50,57,15,13,41,69,39,40
26,57,13,11,44,61,19,54
22,57,10,9,44,49,39,40
27,57,7,6,44,0,39,60
37,37,15,13,41,49,39,40
43,57,14,10,41,59,39,32
39,57,10,9,41,0,19,50
43,57,6,5,11,71,39,40
48,57,10,9,11,38,39,40
52,57,10,9,42,17,39,20
53,57,8,7,41,25,39,40
56,57,10,9,41,25,39,40
43,57,10,9,41,61,39,40
52,57,15,13,41,16,39,45
58,18,15,13,44,58,39,48
23,57,15,13,44,61,39,40
19,57,14,10,44,49,19,35
20,57,14,10,44,25,39,40
20,57,10,9,44,49,19,40
52,57,10,9,41,61,39,40
34,57,15,13,44,61,39,40
31,57,13,11,41,58,19,40
51,57,10,9,11,0,19,40
49,67,14,10,44,0,19,40
40,57,10,9,11,16,19,50
49,57,15,13,41,16,39,40
51,64,14,10,11,61,19,50
43,57,10,9,11,0,19,45
32,57,15,13,41,25,39,50
33,57,10,9,41,38,39,40
51,57,13,11,41,25,39,40
50,37,14,10,11,0,19,40
45,57,10,9,65,0,19,38
39,63,16,14,41,16,39,60
23,57,14,10,44,61,19,15
35,57,9,8,44,17,39,20
30,57,10,9,44,0,19,40
31,37,10,9,11,59,39,47
44,37,10,9,41,58,39,30
23,67,10,9,44,49,19,21
26,57,13,11,41,16,19,40
21,57,10,9,44,9,39,48
17,57,9,8,44,49,39,16
45,57,14,10,41,0,19,24
31,64,10,9,44,49,19,40
21,57,8,7,44,69,19,35
22,57,10,9,44,71,39,35
55,64,10,9,41,61,39,50
53,57,10,9,41,16,39,40
28,57,12,12,44,0,39,32
45,63,10,9,41,16,39,48
20,57,14,10,44,56,19,20
42,37,15,13,11,58,19,30
32,57,15,13,44,0,39,40
27,57,10,9,44,9,39,40
46,57,10,9,11,0,19,44
42,57,14,10,11,16,19,45
36,57,14,10,44,49,39,45
60,64,10,9,44,17,39,42
34,57,10,9,11,9,39,48
24,57,10,9,65,49,19,50
42,37,10,9,41,71,39,40
28,57,15,13,41,16,39,45
46,18,15,13,41,58,39,50
55,64,11,15,77,58,39,55
44,57,15,13,11,58,19,40
21,67,14,10,44,0,19,15
42,57,10,9,41,9,39,40
20,57,14,10,44,61,19,25
49,64,15,13,41,17,39,70
42,37,14,10,11,71,39,65
31,57,15,13,41,16,39,40
37,37,13,11,41,59,39,40
50,57,13,11,41,71,39,45
31,67,12,12,41,69,39,40
40,18,14,10,41,69,39,40
24,67,14,10,41,58,39,40
49,57,10,9,77,0,19,20
19,57,14,10,44,16,19,35
44,57,10,9,41,71,39,50
37,57,14,10,41,0,39,40
52,57,10,9,41,0,19,38
24,57,14,10,41,0,39,15
56,57,10,9,41,38,39,40
48,57,10,9,11,16,19,40
20,67,14,10,44,25,39,15
74,57,15,13,77,49,19,8
30,37,10,9,65,49,19,26
34,57,10,9,44,58,19,30
46,37,14,10,41,59,39,38
58,37,10,9,41,17,39,40
35,57,17,16,44,58,19,80
34,57,10,9,41,38,39,40
26,57,15,13,44,58,39,50
31,57,10,9,41,9,39,50
26,57,14,10,41,61,39,40
51,57,10,9,41,0,19,20
45,57,10,9,65,16,19,40
27,57,14,10,41,16,19,40
29,57,15,13,44,58,39,50
28,57,15,13,41,58,39,50
35,57,16,14,44,58,39,45
27,57,14,10,11,0,19,20
34,57,14,10,41,25,39,40
38,57,6,5,41,25,39,40
31,57,15,13,41,38,39,50
29,37,14,10,65,0,19,38
42,57,14,10,42,58,39,40
37,37,15,13,41,58,19,50
27,57,14,10,44,61,39,44
76,57,15,13,77,58,19,20
40,63,10,9,41,16,39,50
45,57,12,12,11,9,39,40
49,57,10,9,41,9,39,43
33,57,10,9,44,0,39,35
49,57,16,14,11,16,19,75
52,57,6,5,42,38,19,30
28,57,7,6,44,38,19,40
25,57,11,15,44,58,19,8
50,57,15,13,11,61,39,45
59,57,15,13,44,9,39,50
38,57,10,9,11,38,39,45
22,57,10,9,44,38,19,40
19,57,10,9,44,25,39,30
27,57,10,9,44,0,19,40
53,57,14,10,77,16,19,54
63,57,13,11,77,0,19,8
19,57,9,8,44,25,39,40
26,57,10,9,44,0,39,60
36,57,15,13,11,61,19,40
32,57,14,10,11,16,19,30
28,57,10,9,41,9,39,40
29,57,16,14,41,58,39,40
70,57,14,10,11,17,39,40
20,57,10,9,44,49,19,40
58,63,10,9,41,61,39,55
34,57,14,10,65,38,39,40
42,57,10,9,65,9,19,40
45,57,15,13,11,16,19,40
20,57,10,9,44,38,39,40
18,57,7,6,44,9,39,30
57,57,6,5,41,38,39,40
25,57,15,13,44,25,39,40
24,57,10,9,41,9,39,40
42,57,14,10,41,9,39,50
40,57,15,13,41,17,39,40
39,57,10,9,11,0,19,40
42,64,14,10,41,58,19,25
22,57,10,9,44,61,19,30
21,18,14,10,44,69,39,20
17,57,8,7,44,49,19,16
35,57,15,13,41,17,39,65
74,57,10,9,41,16,39,40
25,57,14,10,41,61,39,44
35,57,10,9,41,71,39,40
41,57,10,9,41,49,39,40
29,57,13,11,44,0,19,40
19,64,14,10,44,71,39,30
52,57,14,10,41,58,39,40
39,57,10,9,11,16,19,38
32,57,10,9,44,25,19,30
48,57,16,14,41,16,39,40
23,57,14,10,41,61,39,40
38,57,10,9,41,9,39,40
19,64,8,7,44,0,19,30
17,64,7,6,44,17,39,35
39,57,10,9,41,25,39,40
31,57,15,13,44,16,19,50
30,67,10,9,41,59,39,40
40,67,13,11,41,49,39,30
32,57,10,9,41,9,39,48
28,57,10,9,11,38,39,40
43,57,14,10,11,69,19,50
60,57,10,9,41,49,39,40
76,57,5,4,77,56,19,40
44,57,10,9,41,61,19,40
27,57,15,13,41,61,39,45
39,57,13,11,41,9,39,40
18,57,10,9,44,25,39,22
62,57,6,5,41,49,39,35
39,57,3,3,65,61,19,30
34,37,12,12,41,58,39,60
34,57,10,9,41,61,39,65
33,57,7,6,44,38,19,45
60,63,10,9,41,17,39,25
65,67,5,4,77,49,19,24
39,57,15,13,44,0,19,40
21,57,7,6,41,38,39,36
18,57,10,9,44,49,39,35
43,57,10,9,41,9,39,48
32,57,12,12,41,69,39,42
34,57,14,10,44,0,19,40
41,57,10,9,11,61,39,50
24,57,15,13,44,38,39,45
21,67,14,10,44,16,39,40
28,67,8,7,65,0,19,40
26,57,15,13,44,38,39,40
43,57,16,14,42,16,39,50
17,57,9,8,44,0,19,30
25,67,15,13,44,58,19,40
25,37,12,12,44,0,19,38
37,57,15,13,41,49,39,30
24,57,14,10,44,0,19,20
41,57,14,10,41,71,39,54
35,57,14,10,41,71,39,40
33,57,10,9,11,61,19,40
55,57,15,13,42,9,19,55
22,57,14,10,44,0,39,40
58,57,10,9,65,49,19,40
23,57,14,10,44,16,19,35
29,57,10,9,41,61,19,18
39,57,10,9,41,58,39,40
39,57,15,13,41,61,39,55
24,57,14,10,44,9,39,40
24,57,10,9,44,69,39,40
23,57,14,10,65,9,39,40
24,57,14,10,44,25,39,24
29,57,14,10,41,0,39,40
25,57,14,10,41,16,39,50
54,57,10,9,41,9,39,40
20,57,14,10,44,61,39,44
34,37,10,9,41,58,39,40
47,37,15,13,41,58,39,40
70,57,10,9,77,0,19,5
56,57,14,10,41,69,39,45
